pathway	NOP2	DNA_REPLICATION
TCGA.DD.AACW.01A.11R.A41C.07	4.960107478	0.180679198
TCGA.DD.AAD3.01A.11R.A41C.07	4.958351256	-0.262044849
TCGA.DD.AAEK.01A.11R.A41C.07	4.957885472	-0.123058052
TCGA.2Y.A9H8.01A.11R.A39D.07	4.956425044	-0.054238196
TCGA.DD.A11C.01A.11R.A131.07	4.954193912	0.044531835
TCGA.DD.AAVR.01A.11R.A41C.07	4.953987683	-0.388684867
TCGA.DD.AACA.01A.11R.A41C.07	4.951926219	0.280762971
TCGA.DD.A1EI.01A.11R.A131.07	4.951587429	-0.150431696
TCGA.2Y.A9H7.01A.11R.A39D.07	4.950861453	-0.076308233
TCGA.FV.A4ZQ.01A.11R.A266.07	4.947301676	0.297797061
TCGA.ZS.A9CE.01A.11R.A37K.07	4.946829429	-0.26591555
TCGA.G3.AAV1.01A.11R.A38B.07	4.946718999	-0.00122148
TCGA.FV.A496.01A.11R.A266.07	4.94454236	-0.27431929
TCGA.BC.A10W.01A.11R.A131.07	4.944069856	0.243569599
TCGA.2Y.A9GT.01A.11R.A38B.07	4.932116555	-0.302019521
TCGA.DD.AAVQ.01A.11R.A41C.07	4.931896734	-0.181193981
TCGA.MI.A75G.01A.11R.A32O.07	4.929872651	-0.232692328
TCGA.EP.A3JL.01A.11R.A213.07	4.92890286	-0.325145229
TCGA.DD.A3A2.01A.11R.A213.07	4.928492641	-0.320035925
TCGA.DD.AAE7.01A.11R.A41C.07	4.928458574	-0.358960259
TCGA.DD.A73E.01A.12R.A32O.07	4.927751399	0.128542634
TCGA.2V.A95S.01A.11R.A37K.07	4.925750144	-0.040458256
TCGA.BC.A10Q.01A.11R.A131.07	4.924768948	0.01224402
TCGA.ZP.A9CZ.01A.11R.A38B.07	4.92401259	0.255179075
TCGA.G3.A25U.01A.11R.A16W.07	4.922234451	0.296931649
TCGA.DD.A39V.01A.11R.A213.07	4.908856324	-0.21802509
TCGA.G3.A25V.01A.11R.A16W.07	4.90380669	-0.480928714
TCGA.ED.A7XO.01A.11R.A352.07	4.902552349	0.013434512
TCGA.RC.A7SB.01A.21R.A352.07	4.900866016	-0.283351588
TCGA.DD.A4NE.01A.11R.A27V.07	4.899591909	0.232099762
TCGA.DD.AAVV.01A.11R.A41C.07	4.899119582	-0.307542085
TCGA.2Y.A9GY.01A.11R.A38B.07	4.898472042	0.104615152
TCGA.K7.A5RF.01A.11R.A28V.07	4.897538693	-0.488754532
TCGA.G3.A7M8.01A.11R.A33R.07	4.896803904	-0.350128974
TCGA.DD.A11B.01A.11R.A131.07	4.893037589	-0.22417236
TCGA.G3.AAV6.01A.21R.A37K.07	4.892260124	0.081066371
TCGA.CC.A7IL.01A.11R.A33R.07	4.89104993	-0.035778761
TCGA.CC.5261.01A.01R.A131.07	4.888441648	-0.064511747
TCGA.G3.A5SJ.01A.11R.A27V.07	4.885885058	-0.021719385
TCGA.BD.A3EP.01A.11R.A22L.07	4.881133254	-0.301668362
TCGA.DD.A11D.01A.11R.A131.07	4.879643405	-0.320860899
TCGA.DD.AAD2.01A.11R.A41C.07	4.873602277	-0.355878332
TCGA.DD.AAVP.01A.11R.A41C.07	4.873515597	-0.21777611
TCGA.G3.AAV3.01A.11R.A37K.07	4.87152141	0.084803749
TCGA.DD.AACJ.01A.11R.A41C.07	4.868312239	-0.295439235
TCGA.WX.AA44.01A.11R.A39D.07	4.866185336	-0.059970111
TCGA.G3.A3CI.01A.11R.A213.07	4.863470308	-0.490140117
TCGA.BW.A5NQ.01A.11R.A27V.07	4.860235449	0.346956522
TCGA.BC.A10Y.01A.11R.A131.07	4.860091969	0.207931361
TCGA.UB.AA0U.01A.11R.A38B.07	4.859459194	0.19624771
TCGA.DD.A1EH.01A.11R.A131.07	4.855302448	0.018983204
TCGA.DD.A1ED.01A.11R.A155.07	4.855142781	-0.449496122
TCGA.DD.A1EK.01A.11R.A213.07	4.851471357	-0.344999054
TCGA.FV.A23B.01A.11R.A16W.07	4.850301996	0.10542346
TCGA.DD.A3A6.01A.11R.A22L.07	4.848202594	-0.360692633
TCGA.KR.A7K2.01A.12R.A33R.07	4.847917148	-0.339971082
TCGA.G3.A5SM.01A.12R.A28V.07	4.847184896	-0.364519205
TCGA.ED.A5KG.01A.11R.A27V.07	4.846678775	-0.014236038
TCGA.CC.A5UE.01A.11R.A28V.07	4.846324911	0.159146405
TCGA.DD.A1EG.01A.11R.A213.07	4.844224164	-0.145821557
TCGA.G3.AAV5.01A.11R.A37K.07	4.843275724	0.02793983
TCGA.DD.AACS.01A.11R.A41C.07	4.843229696	0.376295439
TCGA.KR.A7K7.01A.11R.A33J.07	4.837165091	-0.050632576
TCGA.ED.A627.01A.12R.A311.07	4.834499243	-0.390174574
TCGA.MI.A75E.01A.11R.A32O.07	4.825935994	-0.421777072
TCGA.FV.A3R2.01A.11R.A22L.07	4.825464267	-0.028332592
TCGA.DD.AAVW.01A.11R.A41C.07	4.822849628	-0.342064704
TCGA.MI.A75H.01A.11R.A32O.07	4.815729083	-0.165322942
TCGA.BC.A10R.01A.11R.A131.07	4.814704959	-0.401881776
TCGA.DD.A115.01A.11R.A131.07	4.813973292	0.004483314
TCGA.DD.AADS.01A.11R.A41C.07	4.809426544	-0.356766818
TCGA.DD.A4NP.01A.11R.A28V.07	4.808339298	-0.334006857
TCGA.EP.A12J.01A.11R.A131.07	4.806885577	0.027113305
TCGA.2Y.A9H0.01A.11R.A38B.07	4.804794616	0.26366652
TCGA.EP.A26S.01A.11R.A16W.07	4.802260853	0.018612001
TCGA.BC.A10T.01A.11R.A131.07	4.801259516	-0.094885093
TCGA.DD.AACG.01A.11R.A41C.07	4.800897616	-0.067578904
TCGA.CC.A5UD.01A.11R.A28V.07	4.796448739	0.298021328
TCGA.ED.A4XI.01A.11R.A266.07	4.795272887	-0.451239044
TCGA.UB.A7MA.01A.11R.A33R.07	4.791511353	0.027522222
TCGA.DD.AADO.01A.11R.A41C.07	4.780062859	-0.271945615
TCGA.MI.A75I.01A.11R.A32O.07	4.778533653	-0.099753556
TCGA.ZS.A9CG.01A.11R.A37K.07	4.774678689	-0.360946856
